O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
5.45,8.67,3.45,5.34,4.23,7.06,4.4,3.84,4.84,7.01,Accountant
5.44,8.68,3.44,5.35,4.22,7.07,4.39,3.85,4.83,7.02,Accountant
5.46,8.66,3.46,5.33,4.24,7.05,4.41,3.83,4.85,7,Accountant
5.44,8.66,3.44,5.33,4.22,7.05,4.39,3.83,4.83,7,Accountant
5.46,8.68,3.46,5.35,4.24,7.07,4.41,3.85,4.85,7.02,Accountant
5.45,8.67,3.45,5.34,4.23,5.1,3.42,2.2,5.33,3.79,Accountant
5.44,8.68,3.44,5.35,4.22,5.11,3.41,2.21,5.32,3.8,Accountant
5.46,8.66,3.46,5.33,4.24,5.09,3.43,2.19,5.34,3.78,Accountant
5.44,8.66,3.44,5.33,4.22,5.09,3.41,2.19,5.32,3.78,Accountant
5.46,8.68,3.46,5.35,4.24,5.11,3.43,2.21,5.34,3.8,Accountant
6.46,9.68,4.46,6.35,5.24,5.81,4.12,2.3,6.13,4.5,Accountant
6.47,9.67,4.47,6.34,5.25,5.8,4.13,2.29,6.14,4.49,Accountant
6.45,9.69,4.45,6.36,5.23,5.82,4.11,2.31,6.12,4.51,Accountant
6.47,9.69,4.47,6.36,5.25,5.82,4.13,2.31,6.14,4.51,Accountant
6.45,9.67,4.45,6.34,5.23,5.8,4.11,2.29,6.12,4.49,Accountant
7.45,8.67,5.23,7.67,6.01,8.06,6.45,5.62,6.73,8.17,Administrative Officer
7.65,8.87,5.43,7.87,6.21,8.26,6.65,5.82,6.93,8.37,Administrative Officer
7.45,8.67,5.23,7.67,6.01,5.7,4.77,1.67,6.33,5.26,Administrative Officer
7.65,8.87,5.43,7.87,6.21,5.84,4.91,1.69,6.49,5.4,Administrative Officer
8.46,9.68,6.24,8.68,7.02,6.41,5.48,1.77,7.13,5.97,Administrative Officer
8.66,9.88,6.44,8.88,7.22,6.55,5.62,1.79,7.29,6.11,Administrative Officer
7.67,6.12,8.78,7.45,6.45,6.9,8.12,7.62,7.06,6.79,Advertising Executive
7.87,6.32,8.98,7.65,6.65,7.1,8.32,7.82,7.26,6.99,Advertising Executive
7.67,6.12,8.78,7.45,6.45,4.75,5.59,0.51,5.67,5.33,Advertising Executive
7.87,6.32,8.98,7.65,6.65,4.89,5.73,0.53,5.83,5.47,Advertising Executive
8.68,7.13,9.79,8.46,7.46,5.46,6.3,0.61,6.48,6.03,Advertising Executive
8.88,7.33,5.45,8.66,7.66,5.6,5.53,0.63,6.64,6.17,Advertising Executive
7.23,7.67,4.23,5.45,4.89,7.45,4.84,4.56,6.06,6.56,Aerospace Engineer
7.43,7.87,4.43,5.65,5.09,7.65,5.04,4.76,6.26,6.76,Aerospace Engineer
7.23,7.67,4.23,5.45,4.89,5.24,4.46,1.6,5.92,4.71,Aerospace Engineer
7.43,7.87,4.43,5.65,5.09,5.38,4.6,1.62,6.08,4.85,Aerospace Engineer
8.24,8.68,5.24,6.46,5.9,5.94,5.17,1.7,6.72,5.41,Aerospace Engineer
8.44,8.88,5.44,6.66,6.1,6.08,5.31,1.72,6.88,5.55,Aerospace Engineer
5.12,8.89,4.34,5.45,4.78,7.01,4.9,4.56,4.95,7.17,Air Traffic Controller
5.12,9.23,4.34,5.45,2.67,7.18,4.9,3.51,3.9,7.34,Air Traffic Controller
4.92,9.03,4.14,5.25,2.47,6.98,4.7,3.31,3.7,7.14,Air Traffic Controller
5.12,8.89,4.34,5.45,4.78,5.09,3.43,2.12,5.23,3.65,Air Traffic Controller
5.12,9.23,4.34,5.45,2.67,5.23,3.43,2.89,5.33,3.65,Air Traffic Controller
4.92,9.03,4.14,5.25,2.47,5.09,3.29,2.87,5.17,3.51,Air Traffic Controller
6.13,9.9,5.35,6.46,5.79,5.8,4.14,2.22,6.04,4.36,Air Traffic Controller
6.13,5.6,5.35,6.46,3.68,4.08,4.14,1.14,4.75,4.36,Air Traffic Controller
5.93,10.04,5.15,6.26,3.48,5.8,4,2.97,5.98,4.22,Air Traffic Controller
4.34,8.89,4.78,6.45,5.45,6.62,5.62,5.12,4.9,7.67,Airline Pilot
